col,level,n,frauds,rate,lift,ci_lo,ci_hi,p,q_bh
ConnectionOrg,comcast business communications llc,495,18,0.03636363636363636,1.273158534627119,0.023123318202289574,0.056744920533212825,0.27942147741676815,0.9347273374503756
webSessWebBrowser,Safari,13080,394,0.030122324159021406,1.0546385873612258,0.02732822957269751,0.03319234414014842,0.2818266938518611,0.9347273374503756
Region,midwest,3142,79,0.02514322087842139,0.8803109218578664,0.020221432792355526,0.031224768440408383,0.283677790175932,0.9347273374503756
ConnectionOrg,optimum online (cablevision systems),5151,134,0.026014366142496602,0.9108113376239436,0.022007850909445226,0.030727348558177593,0.2955039879737187,0.9347273374503756
ConnectionOrg,at&t internet services,12227,368,0.030097325590905374,1.0537633410015903,0.02721332259419963,0.033276513199275125,0.3022805484490336,0.9347273374503756
ConnectionType,unknown,4947,153,0.030927835051546393,1.0828410217189415,0.026455626791781543,0.03612799535440062,0.30582534092199337,0.9347273374503756
webSessWebBrowser,Chrome,64624,1802,0.027884377321119088,0.9762839066515054,0.026642768026072038,0.029182113490627097,0.3098536203528368,0.9347273374503756
webSessWebBrowser,other,232,9,0.03879310344827586,1.3582186953457414,0.020540909815985397,0.07207040218325478,0.32129652604402037,0.9347273374503756
webSessWebBrowser,Android,232,9,0.03879310344827586,1.3582186953457414,0.020540909815985397,0.07207040218325478,0.32129652604402037,0.9347273374503756
ConnectionOrg,time warner cable internet llc,15676,427,0.027239091605001275,0.9536912536909253,0.02480437477181402,0.029905463623492216,0.3374757713551129,0.9347273374503756
ConnectionOrg,tw telecom holdings inc.,512,18,0.03515625,1.230885692657078,0.022351622249542902,0.05488449054167052,0.3515857817825635,0.9347273374503756
State,california,26098,720,0.02758832094413365,0.965918422316536,0.025669585851513115,0.029646112639278428,0.35287188026600336,0.9347273374503756
ConnectionOrg,frontier communications of america inc.,522,11,0.0210727969348659,0.7377978098174397,0.011806558591679863,0.037336757570449575,0.3580605099773401,0.9347273374503756
ConnectionType,dsl,21637,595,0.027499191200258816,0.9627978242286933,0.025402620888205323,0.029763514609963106,0.35844372000212477,0.9347273374503756
Country,cn,274,10,0.0364963503649635,1.2778050986221086,0.01994257199004259,0.06586747229418266,0.36655276324424324,0.9347273374503756
State,massachusetts,725,16,0.022068965517241378,0.772675524463355,0.013629021748084275,0.03554709553171973,0.3707175052295529,0.9347273374503756
V6CF,com,39662,1103,0.027809994453128938,0.9736796241131837,0.02623691096959216,0.029474540265568318,0.38197385008900364,0.9347273374503756
V6CF,net,74018,2152,0.029074009024831798,1.0179351249592383,0.02788782274953423,0.030309075718336364,0.4017239751790814,0.9347273374503756
ConnectionOrg,comcast cable communications holdings inc,2578,66,0.02560124127230411,0.8963470676292556,0.020173934035984997,0.032440292956096926,0.4074981886736747,0.9347273374503756
State,oklahoma,339,12,0.035398230088495575,1.239357865566222,0.0203630098125547,0.060845338299226386,0.4133055605971923,0.9347273374503756
State,indiana,2648,68,0.0256797583081571,0.8990960950727768,0.02030735415241535,0.03242641395801779,0.41378323409910067,0.9347273374503756
State,illinois,21081,621,0.02945780560694464,1.0313725570463748,0.027259598187748688,0.03182747600682339,0.4320532052347469,0.9347273374503756
Country,gb,392,8,0.02040816326530612,0.7145277490254239,0.01037649160620936,0.039748608939059245,0.44580734566461927,0.9347273374503756
Region,mid atlantic,7802,211,0.027044347603178674,0.9468729040212586,0.023671011613762498,0.03088320839500632,0.4545156592079416,0.9347273374503756
webSessOS,iOS,17582,485,0.027585030144465932,0.9658032053002618,0.025265351584058536,0.03011110534934179,0.45497994033950606,0.9347273374503756
ConnectionOrg,at&t mobility llc,3682,97,0.026344378055404672,0.9223656684187508,0.021644013616836905,0.032032085757590915,0.45782731989633474,0.9347273374503756
State,kentucky,596,20,0.03355704697986577,1.1748946208807307,0.021826186094707357,0.05126244263661104,0.4587417445133471,0.9347273374503756
